SPECIES,COUNT,location
Amazon Kingfisher,7,Punta Gorda
American Kestrel,7,Punta Gorda
American Pygmy Kingfisher,6,Punta Gorda
American Redstart,6,Punta Gorda
Anhinga,8,Punta Gorda
Baltimore Oriole,8,Punta Gorda
Bananaquit,6,Punta Gorda
Bare-throated Tiger-Heron,7,Punta Gorda
Barred Antshrike,8,Punta Gorda
Bat Falcon,6,Punta Gorda
Belted Kingfisher,7,Punta Gorda
Black Hawk-Eagle,1,Punta Gorda
Black Vulture,7,Punta Gorda
Black-and-white Warbler,7,Punta Gorda
Black-bellied Whistling-Duck,8,Punta Gorda
Black-cheeked Woodpecker,7,Punta Gorda
Black-cowled Oriole,7,Punta Gorda
Black-crowned Tityra,6,Punta Gorda
Black-faced Antthrush,8,Punta Gorda
Black-faced Grosbeak,6,Punta Gorda
Black-headed Saltator,6,Punta Gorda
Black-headed Trogon,7,Punta Gorda
Black-throated Green Warbler,7,Punta Gorda
Blue Grosbeak,7,Punta Gorda
Blue Ground-Dove,7,Punta Gorda
Blue-black Grassquit,6,Punta Gorda
Blue-crowned Motmot,10,Punta Gorda
Blue-gray Gnatcatcher,8,Punta Gorda
Blue-gray Tanager,3,Punta Gorda
Blue-winged Teal,6,Punta Gorda
Blue-winged Warbler,7,Punta Gorda
Boat-billed Flycatcher,5,Punta Gorda
Boat-billed Heron,7,Punta Gorda
Bright-rumped Attila,10,Punta Gorda
Bronzed Cowbird,8,Punta Gorda
Brown Jay,6,Punta Gorda
Brown Pelican,10,Punta Gorda
Brown-crested Flycatcher,8,Punta Gorda
Brown-hooded Parrot,7,Punta Gorda
Buff-throated Foliage-gleaner,6,Punta Gorda
Buff-throated Saltator,7,Punta Gorda
Cattle Egret,7,Punta Gorda
Chestnut-sided Warbler,7,Punta Gorda
Cinnamon Hummingbird,9,Punta Gorda
Clay-colored Thrush,7,Punta Gorda
Collared Aracari,8,Punta Gorda
Collared Forest-Falcon,5,Punta Gorda
Common Black-Hawk,6,Punta Gorda
Common Pauraque,6,Punta Gorda
Common Tody-Flycatcher,7,Punta Gorda
Common Yellowthroat,9,Punta Gorda
Couch's Kingbird,8,Punta Gorda
Crimson-collared Tanager,6,Punta Gorda
Dot-winged Antwren,6,Punta Gorda
Dusky Antbird,9,Punta Gorda
Dusky-capped Flycatcher,8,Punta Gorda
Eastern Meadowlark,7,Punta Gorda
Giant Cowbird,7,Punta Gorda
Golden-fronted Woodpecker,9,Punta Gorda
Golden-hooded Tanager,11,Punta Gorda
Golden-olive Woodpecker,10,Punta Gorda
Golden-winged Warbler,10,Punta Gorda
Gray Catbird,10,Punta Gorda
Gray Hawk,10,Punta Gorda
Gray-breasted Crake,5,Punta Gorda
Gray-chested Dove,7,Punta Gorda
Gray-crowned Yellowthroat,4,Punta Gorda
Gray-headed Tanager,1,Punta Gorda
Grayish Saltator,9,Punta Gorda
Gray-necked Wood-Rail,7,Punta Gorda
Great Antshrike,8,Punta Gorda
Great Blue Heron,9,Punta Gorda
Great Crested Flycatcher,10,Punta Gorda
Great Egret,9,Punta Gorda
Great Kiskadee,8,Punta Gorda
Great Tinamou,9,Punta Gorda
Great-tailed Grackle,10,Punta Gorda
Green Heron,10,Punta Gorda
Green Honeycreeper,8,Punta Gorda
Green Jay,7,Punta Gorda
Green Kingfisher,9,Punta Gorda
Green-backed Sparrow,7,Punta Gorda
Greenish Elaenia,7,Punta Gorda
Groove-billed Ani,10,Punta Gorda
Guianan Trogon,9,Punta Gorda
Hooded Warbler,11,Punta Gorda
House Sparrow,6,Punta Gorda
House Wren,7,Punta Gorda
Indigo Bunting,8,Punta Gorda
Ivory-billed Woodcreeper,9,Punta Gorda
Keel-billed Toucan,9,Punta Gorda
Kentucky Warbler,10,Punta Gorda
Killdeer,5,Punta Gorda
King Vulture,6,Punta Gorda
Laughing Falcon,7,Punta Gorda
Laughing Gull,7,Punta Gorda
Least Bittern,9,Punta Gorda
Least Flycatcher,8,Punta Gorda
Lesser Greenlet,8,Punta Gorda
Lesser Swallow-tailed Swift,5,Punta Gorda
Lesser Yellow-headed Vulture,6,Punta Gorda
Limpkin,9,Punta Gorda
Lineated Woodpecker,9,Punta Gorda
Little Blue Heron,9,Punta Gorda
Little Tinamou,7,Punta Gorda
Long-billed Gnatwren,9,Punta Gorda
Long-billed Hermit,8,Punta Gorda
Louisiana Waterthrush,5,Punta Gorda
Magnificent Frigatebird,7,Punta Gorda
Magnolia Warbler,7,Punta Gorda
Mangrove Swallow,8,Punta Gorda
Mangrove Vireo,6,Punta Gorda
Masked Tityra,10,Punta Gorda
Mealy Parrot,10,Punta Gorda
Melodious Blackbird,6,Punta Gorda
Montezuma Oropendola,11,Punta Gorda
Mottled Owl,7,Punta Gorda
Muscovy Duck,12,Punta Gorda
Neotropic Cormorant,9,Punta Gorda
Nightingale Wren,10,Punta Gorda
Northern Barred-Woodcreeper,8,Punta Gorda
Northern Beardless-Tyrannulet,10,Punta Gorda
Northern Bentbill,4,Punta Gorda
Northern Parula,5,Punta Gorda
